filename,signal_name,profit
cryptocurrency_database.miniticker_collection_06182019.db,MTS_Crossover3_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,0.0
cryptocurrency_database.miniticker_collection_06182019.db,TSI_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,-3.32
cryptocurrency_database.miniticker_collection_06182019.db,EMA_OBV_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,-2.85
cryptocurrency_database.miniticker_collection_06182019.db,MTS_Crossover2_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,-3.75
cryptocurrency_database.miniticker_collection_06182019.db,MTS_SMA_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,-0.16
cryptocurrency_database.miniticker_collection_06182019.db,MACD_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,-2.69
cryptocurrency_database.miniticker_collection_06182019.db,Hybrid_Crossover_Test2-Hourly_ROC_Signal-basic_signal_market_strategy,-3.33
cryptocurrency_database.miniticker_collection_06182019.db,MTS_CrossoverTracker_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,-0.64
cryptocurrency_database.miniticker_collection_06182019.db,PMO_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,-1.41
cryptocurrency_database.miniticker_collection_06182019.db,AEMA_Crossover_Test-Hourly_ROC_Signal-basic_signal_market_strategy,-3.2
cryptocurrency_database.miniticker_collection_06182019.db,TSV_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,-1.97
cryptocurrency_database.miniticker_collection_06182019.db,MTS_Retracement_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,-0.83
cryptocurrency_database.miniticker_collection_06182019.db,Hybrid_Crossover_Test-Hourly_ROC_Signal-basic_signal_market_strategy,-2.6
cryptocurrency_database.miniticker_collection_06182019.db,PPO_OBV-Hourly_ROC_Signal-basic_signal_market_strategy,-3.47
cryptocurrency_database.miniticker_collection_04092018.db,PPO_OBV-Hourly_ROC_Signal-basic_signal_market_strategy,3.01
cryptocurrency_database.miniticker_collection_04092018.db,TSI_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,2.93
cryptocurrency_database.miniticker_collection_04092018.db,EMA_OBV_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,2.84
cryptocurrency_database.miniticker_collection_04092018.db,MTS_Crossover2_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,2.35
cryptocurrency_database.miniticker_collection_04092018.db,MTS_SMA_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,2.53
cryptocurrency_database.miniticker_collection_04092018.db,MACD_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,3.12
cryptocurrency_database.miniticker_collection_04092018.db,TSV_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,1.73
cryptocurrency_database.miniticker_collection_04092018.db,PMO_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,2.44
cryptocurrency_database.miniticker_collection_04092018.db,AEMA_Crossover_Test-Hourly_ROC_Signal-basic_signal_market_strategy,4.03
cryptocurrency_database.miniticker_collection_04092018.db,MTS_CrossoverTracker_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,0.84
cryptocurrency_database.miniticker_collection_04092018.db,Hybrid_Crossover_Test2-Hourly_ROC_Signal-basic_signal_market_strategy,3.26
cryptocurrency_database.miniticker_collection_04092018.db,MTS_Retracement_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,1.94
cryptocurrency_database.miniticker_collection_04092018.db,Hybrid_Crossover_Test-Hourly_ROC_Signal-basic_signal_market_strategy,1.53
cryptocurrency_database.miniticker_collection_04092018.db,MTS_Crossover3_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,0.64
cryptocurrency_database.miniticker_collection_07162019.db,MTS_Crossover3_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,0.41
cryptocurrency_database.miniticker_collection_07162019.db,TSI_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,3.9
cryptocurrency_database.miniticker_collection_07162019.db,EMA_OBV_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,4.31
cryptocurrency_database.miniticker_collection_07162019.db,MTS_Crossover2_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,2.22
cryptocurrency_database.miniticker_collection_07162019.db,MTS_SMA_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,1.44
cryptocurrency_database.miniticker_collection_07162019.db,MACD_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,3.85
cryptocurrency_database.miniticker_collection_07162019.db,Hybrid_Crossover_Test2-Hourly_ROC_Signal-basic_signal_market_strategy,3.83
cryptocurrency_database.miniticker_collection_07162019.db,MTS_CrossoverTracker_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,0.42
cryptocurrency_database.miniticker_collection_07162019.db,PMO_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,3.63
cryptocurrency_database.miniticker_collection_07162019.db,AEMA_Crossover_Test-Hourly_ROC_Signal-basic_signal_market_strategy,3.59
cryptocurrency_database.miniticker_collection_07162019.db,TSV_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,3.11
cryptocurrency_database.miniticker_collection_07162019.db,MTS_Retracement_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,1.91
